timestamp_utc,ticker,buy_time_ist,buy_price,shares_bought,investment,sell_time_ist,sell_price,pl_usd,pl_pct
2025-08-14T11:18:44.660775+00:00,AAL,16:48:44,12.98,7.7042,100,16:48:51,12.98,0.0,0.0
2025-08-14T11:18:44.661335+00:00,AAOI,16:48:44,22.79,4.3879,100,16:48:51,22.79,0.0,0.0
2025-08-14T11:18:44.661357+00:00,AAON,16:48:44,82.95,1.2055,100,16:48:51,82.95,0.0,0.0
2025-08-14T11:18:44.661370+00:00,ABAT,16:48:44,2.33,42.9185,100,16:48:51,2.33,0.0,0.0
2025-08-14T11:18:44.661380+00:00,ABL,16:48:44,6.29,15.8983,100,16:48:51,6.29,0.0,0.0
2025-08-14T11:18:44.661391+00:00,ABNB,16:48:44,121.61,0.8223,100,16:48:51,121.61,0.0,0.0
2025-08-14T11:18:44.661401+00:00,ACET,16:48:44,0.64,156.25,100,16:48:51,0.64,0.0,0.0
2025-08-14T11:18:44.661411+00:00,ACLS,16:48:44,81.32,1.2297,100,16:48:51,81.32,0.0,0.0
2025-08-14T11:18:44.661421+00:00,ACLX,16:48:44,72.52,1.3789,100,16:48:51,72.52,0.0,0.0
2025-08-14T11:18:44.661430+00:00,ACMR,16:48:44,24.93,4.0112,100,16:48:51,24.93,0.0,0.0
2025-08-14T11:18:44.661440+00:00,ACRV,16:48:44,1.25,80.0,100,16:48:51,1.25,0.0,0.0
2025-08-14T11:18:44.661451+00:00,ACTU,16:48:44,8.67,11.534,100,16:48:51,8.67,0.0,0.0
2025-08-14T11:18:44.661460+00:00,ADBG,16:48:44,10.34,9.6712,100,16:48:51,10.34,0.0,0.0
2025-08-14T11:18:44.661470+00:00,ADI,16:48:44,232.04,0.431,100,16:48:51,232.04,0.0,0.0
2025-08-14T11:18:44.661479+00:00,ADIL,16:48:44,0.4,250.0,100,16:48:51,0.4,0.0,0.0
2025-08-14T11:18:44.661489+00:00,ADPT,16:48:44,12.66,7.8989,100,16:48:51,12.66,0.0,0.0
2025-08-14T11:18:44.661498+00:00,ADTN,16:48:44,9.1,10.989,100,16:48:51,9.1,0.0,0.0
2025-08-14T11:18:44.661507+00:00,ADVB,16:48:44,0.4,250.0,100,16:48:51,0.4,0.0,0.0
2025-08-14T11:18:44.661518+00:00,ADVM,16:48:44,2.47,40.4858,100,16:48:51,2.47,0.0,0.0
2025-08-14T11:18:44.661532+00:00,AEHL,16:48:44,2.45,40.8163,100,16:48:51,2.45,0.0,0.0
2025-08-14T11:18:44.661543+00:00,AEHR,16:48:44,19.45,5.1414,100,16:48:51,19.45,0.0,0.0
2025-08-14T11:18:44.661553+00:00,AEMD,16:48:44,1.26,79.3651,100,16:48:51,1.26,0.0,0.0
2025-08-14T11:18:44.661563+00:00,AERT,16:48:44,0.66,151.5152,100,16:48:51,0.66,0.0,0.0
2025-08-14T11:18:44.661572+00:00,AEYE,16:48:44,10.57,9.4607,100,16:48:51,10.57,0.0,0.0
2025-08-14T11:18:44.661581+00:00,AFCG,16:48:44,4.78,20.9205,100,16:48:51,4.78,0.0,0.0
2025-08-14T11:18:44.661591+00:00,AFRM,16:48:44,76.89,1.3006,100,16:48:51,76.89,0.0,0.0
2025-08-14T11:18:44.661600+00:00,AGEN,16:48:44,4.81,20.79,100,16:48:51,4.81,0.0,0.0
2025-08-14T11:18:44.661610+00:00,AGH,16:48:44,4.74,21.097,100,16:48:51,4.74,0.0,0.0
2025-08-14T11:18:44.661619+00:00,AUDC,16:48:44,9.95,10.0503,100,16:48:51,9.95,0.0,0.0
